pp,save recipe time,edit dark mode time,edit font time,add recipe time,save recipe taps,edit dark mode taps,edit font taps,add recipe taps,homescreen  A rating,home screen B rating,group,,,,
1,14,7,8,10,2,3,4,3,3,5,a,,,,
2,29,19,9,14,8,6,4,5,2,4,b,,,,
3,15,11,9,14,4,3,3,3,3,4,a,,,,
4,18,13,9,12,6,4,3,4,4,4,b,,,,
5,14,11,10,11,3,4,3,3,2,3,a,,,,
6,17,15,13,38,2,3,2,4,1,4,b,,,,
7,15,10,8,25,2,4,3,4,2,3,a,,,,
8,42,15,12,32,3,5,2,5,3,3,b,,,,
9,55,40,12,26,4,8,2,3,2,4,a,,,,
10,15,6,4,9,5,3,3,3,4,5,b,,,,
11,15,8,9,11,3,4,5,4,3,5,a,,,,
12,30,20,10,15,9,7,5,6,2,4,b,,,,
13,16,12,10,15,5,4,4,4,3,4,a,,,,
14,19,14,10,13,7,5,4,5,4,4,b,,,,
15,15,12,11,12,4,5,4,4,2,3,a,,,,
16,18,16,14,39,3,4,3,5,1,4,b,,,,
17,16,11,9,26,3,5,4,5,2,3,a,,,,
18,43,16,13,33,4,6,3,6,2,3,b,,,,
19,56,41,13,27,2,4,3,4,3,5,a,,,,
20,16,7,5,10,3,5,2,5,2,4,b,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
